ORG,APARICIONS
adif alta velocidad,23
agència de desenvolupament del berguedà,47
agència de desenvolupament econòmic del garraf,9
agència tributària. delegació especial de catalunya,4
ajuntament d'abrera,346
ajuntament d'aguilar de segarra,47
ajuntament d'aiguafreda,85
ajuntament d'alella,236
ajuntament d'alpens,31
ajuntament d'arenys de mar,222
ajuntament d'arenys de mar. entitat pública empresarial ràdio arenys,10
ajuntament d'arenys de munt,245
"ajuntament d'arenys de munt. gestió urbanística i serveis arenys de munt, sau",1
ajuntament d'argentona,273
ajuntament d'argençola,69
ajuntament d'artés,213
ajuntament d'avinyonet del penedès,65
ajuntament d'avinyó,150
ajuntament d'avinyó. xarxa avinyó de telecomunicacions,4
ajuntament d'avià,91
ajuntament d'esparreguera,363
ajuntament d'esplugues de llobregat,285
ajuntament d'igualada,310
ajuntament d'igualada. organisme autònom municipal d'ensenyaments artístics,8
ajuntament d'olesa de bonesvalls,89
ajuntament d'olesa de montserrat,499
ajuntament d'olivella,160
ajuntament d'olost,111
ajuntament d'olvan,121
ajuntament d'olèrdola,146
ajuntament d'oristà,8
ajuntament d'orpí,36
ajuntament d'orís,140
ajuntament d'ullastrell,89
ajuntament d'òdena,156
ajuntament d'òrrius,45
ajuntament de badalona,518
"ajuntament de badalona. badalona comunicació, sa",1
"ajuntament de badalona. badalona cultura, sl",4
ajuntament de badalona. institut municipal de serveis personals,28
ajuntament de badalona. museu de badalona,6
ajuntament de badalona. patronat de la música de badalona,4
"ajuntament de badalona. reactivació badalona, sa",1
ajuntament de badia del vallès,292
ajuntament de bagà,156
ajuntament de balenyà,141
ajuntament de balsareny,120
ajuntament de barberà del vallès,466
ajuntament de barcelona,1528
"ajuntament de barcelona. barcelona d'infraestructures municipals, sa",753
"ajuntament de barcelona. barcelona de serveis municipals, sa",48
"ajuntament de barcelona. barcelona de serveis municipals, sa. parc d'atraccions del tibidabo, sa",4
"ajuntament de barcelona. cementiris de barcelona, sa",75
"ajuntament de barcelona. foment de ciutat, sa",7
ajuntament de barcelona. fundació barcelona zoo,2
"ajuntament de barcelona. informació i comunicació de barcelona, sa spm",7
ajuntament de barcelona. institut barcelona esports,41
ajuntament de barcelona. institut de cultura,181
ajuntament de barcelona. institut municipal d'educació,5
ajuntament de barcelona. institut municipal d'hisenda,28
ajuntament de barcelona. institut municipal d'informàtica,5
"ajuntament de barcelona. institut municipal d'urbanisme, epel",216
ajuntament de barcelona. institut municipal de l'habitatge i rehabilitació de barcelona,24
ajuntament de barcelona. institut municipal de mercats,95
ajuntament de barcelona. institut municipal de parcs i jardins,87
ajuntament de barcelona. institut municipal de persones amb discapacitat,10
ajuntament de barcelona. institut municipal de serveis socials,71
ajuntament de barcelona. institut municipal del paisatge urbà i la qualitat de vida,35
ajuntament de barcelona. junta arbitral de consum de barcelona,1
ajuntament de begues,185
ajuntament de bellprat,10
ajuntament de berga,401
"ajuntament de berga. brg, serveis mp, slu",15
ajuntament de bigues i riells del fai,203
ajuntament de borredà,54
ajuntament de cabrera d'anoia,64
ajuntament de cabrera de mar,175
ajuntament de cabrils,248
ajuntament de cabrils. organisme autònom escola bressol,6
ajuntament de calaf,177
ajuntament de calders,103
ajuntament de caldes d'estrac,224
ajuntament de caldes de montbui,419
ajuntament de calella,250
ajuntament de calldetenes,133
ajuntament de callús,82
ajuntament de calonge de segarra,63
ajuntament de campins,113
ajuntament de canet de mar,397
ajuntament de canovelles,253
ajuntament de canyelles,116
ajuntament de capellades,185
ajuntament de capolat,41
ajuntament de cardedeu,250
ajuntament de cardedeu. c10 serveis i manteniments sl,7
ajuntament de cardona,167
ajuntament de carme,67
ajuntament de casserres,88
ajuntament de castell de l'areny,30
ajuntament de castellar de n'hug,51
ajuntament de castellar del riu,18
ajuntament de castellar del vallès,443
ajuntament de castellbell i el vilar,166
ajuntament de castellbisbal,279
ajuntament de castellcir,77
ajuntament de castelldefels,625
ajuntament de castellet i la gornal,81
ajuntament de castellfollit de riubregós,31
ajuntament de castellfollit del boix,61
ajuntament de castellgalí,83
ajuntament de castellnou de bages,72
ajuntament de castellolí,95
ajuntament de castellterçol,108
ajuntament de castellví de la marca,132
ajuntament de castellví de rosanes,127
ajuntament de centelles,211
ajuntament de cercs,55
ajuntament de cercs. museu de les mines de cercs,3
ajuntament de cerdanyola del vallès,386
"ajuntament de cerdanyola del vallès. cerdanyola promocions municipals, slu",2
ajuntament de cervelló,284
ajuntament de collbató,313
ajuntament de collsuspina,34
ajuntament de copons,54
ajuntament de corbera de llobregat,179
ajuntament de cornellà de llobregat,331
ajuntament de cubelles,339
ajuntament de cànoves i samalús,90
ajuntament de dosrius,273
ajuntament de figaró-montmany,104
ajuntament de fogars de la selva,82
ajuntament de fogars de montclús,92
ajuntament de folgueroles,134
ajuntament de folgueroles. fundació jacint verdaguer,3
ajuntament de fonollosa,125
ajuntament de font-rubí,87
ajuntament de fígols,23
ajuntament de gaià,65
ajuntament de gallifa,55
ajuntament de gavà,494
"ajuntament de gavà. gavanenca de terrenys i immobles, sa",11
"ajuntament de gavà. prestació de serveis al ciutadà, sa",42
ajuntament de gelida,137
ajuntament de gelida. patronat municipal d'esports,3
ajuntament de gironella,137
ajuntament de gisclareny,30
ajuntament de granera,36
ajuntament de granollers,693
"ajuntament de granollers. granollers promocions, sa",1
"ajuntament de granollers. roca umbert, fàbrica de les arts, sl",2
ajuntament de gualba,109
ajuntament de guardiola de berguedà,46
ajuntament de gurb,135
ajuntament de jorba,123
ajuntament de l'ametlla del vallès,157
ajuntament de l'espunyola,61
ajuntament de l'esquirol,44
ajuntament de l'estany,57
ajuntament de l'hospitalet de llobregat,869
ajuntament de la garriga,423
ajuntament de la garriga. organisme autònom de mitjans de comunicació,3
ajuntament de la granada,50
ajuntament de la llacuna,58
ajuntament de la llagosta,211
ajuntament de la nou de berguedà,30
ajuntament de la palma de cervelló,73
ajuntament de la pobla de claramunt,114
ajuntament de la pobla de lillet,97
"ajuntament de la pobla de lillet. promoció econòmica lillet, sl",3
ajuntament de la quar,38
ajuntament de la roca del vallès,192
ajuntament de la torre de claramunt,157
ajuntament de les cabanyes,106
ajuntament de les franqueses del vallès,247
ajuntament de les franqueses del vallès. patronat municipal d'esports,8
"ajuntament de les franqueses del vallès. patronat municipal de cultura, educació, infància i joventut",31
ajuntament de les masies de roda,69
ajuntament de les masies de voltregà,148
ajuntament de llinars del vallès,226
"ajuntament de llinars del vallès. llinars cultural, slu",3
ajuntament de lliçà d'amunt,167
ajuntament de lliçà de vall,243
ajuntament de lluçà,52
ajuntament de malgrat de mar,219
ajuntament de malla,64
ajuntament de manlleu,312
ajuntament de manresa,690
"ajuntament de manresa. foment de la rehabilitació urbana de manresa, sa",3
ajuntament de marganell,54
ajuntament de martorell,225
"ajuntament de martorell. gestió del sòl, empresa municipal, sl",2
ajuntament de martorell. patronat municipal de serveis d'atenció a les persones,38
ajuntament de martorelles,153
"ajuntament de masnou. serveis urbans del masnou empresa municipal, sl",6
ajuntament de masquefa,207
ajuntament de matadepera,177
ajuntament de mataró,695
ajuntament de mataró. cementiris metropolitans,3
ajuntament de mataró. entitat pública empresarial mataró audiovisual,8
"ajuntament de mataró. promocions urbanístiques de mataró, sa",2
ajuntament de mediona,80
ajuntament de moià,209
"ajuntament de moià. societat municipal d'aigües de moià, sa",1
ajuntament de molins de rei,363
"ajuntament de molins de rei. molivers societat municipal, sl",12
ajuntament de mollet del vallès,307
ajuntament de mollet del vallès. fundació municipal joan abelló,1
ajuntament de mollet del vallès. institut municipal d'educació,1
ajuntament de mollet del vallès. institut municipal de serveis als discapacitats,1
ajuntament de monistrol de calders,57
ajuntament de monistrol de montserrat,182
ajuntament de montcada i reixac,203
ajuntament de montclar,45
ajuntament de montesquiu,78
ajuntament de montgat,237
ajuntament de montmajor,50
ajuntament de montmaneu,42
ajuntament de montmeló,204
ajuntament de montornès del vallès,390
ajuntament de montseny,110
ajuntament de muntanyola,48
ajuntament de mura,75
ajuntament de navarcles,221
ajuntament de navàs,152
"ajuntament de navàs. serveis municipals de navàs, slu",4
ajuntament de pacs del penedès,131
ajuntament de palafolls,400
ajuntament de palau-solità i plegamans,347
ajuntament de pallejà,277
ajuntament de parets del vallès,260
ajuntament de perafita,75
ajuntament de piera,181
